id,identifier,session_count,language,timezone,game_version,device_os,device_type,device_model,ad_id,tags,last_active,playtime,amount_spent,created_at,invalid_identifier,badge_count,lat,lon,rooted,ip,country,web_auth,web_p256
a2333e14-5dfc-4097-867a-fa1827738f84,0d59ec77fffe72bdfb0c2f2c10eac65c771642f22f54ddd3f89b764127f54382,90,es,-18000,0.5.23,10.3.3,0,"iPhone5,3",4C262AF8-E125-4CD4-9E37-9C683B59F643,{},2018-09-20 22:48:31,10590,0.00,2018-03-01 17:40:41.808432,f,0,,,f,190.40.184.131,PE,,
a2b01596-124e-44b6-84b0-841addca193a,3448ff90b53247be8a9d56671bb526067cc1e6d779e62d8f0844949966a27a18,1,es,-18000,0.5.20,11.4.1,0,"iPhone8,1",5DC6B961-F4E6-4899-B282-DACDBAD2555B,{},2018-08-15 17:41:46,0,0.00,2018-08-15 17:41:46.984288,t,0,,,f,200.93.224.196,EC,,
a11b7ca9-1588-4494-9dff-900d3d54d8d5,APA91bE9rj4P_6vCi6LlbilcF83k2NzcSC2L9U0KH5K320fKf9y5VYLtCccC18FOcwnmbt2X_sscrW1XJWLKMo_zSmISJULPpF6nYS2CX_BXPD5Wrm_RZbAJnCYKDnZ_I_y5fMO8zyvF,177,es,-18000,523,8.0.0,1,SM-G935F,3218d20f-91e8-44c6-afd2-2347de7493ec,{},2018-11-20 19:09:31,188777,0.00,2018-08-01 18:29:38.250545,f,0,,,f,190.154.2.45,EC,,
a8440ca5-af39-4940-83cc-f5845dd27e3f,07b322695041c5e90246f29f368be418ec6e9f4a312b24bf29f923c3e678ebc5,45,es,-18000,0.5.20,12.0,0,"iPhone7,1",791137AB-89E2-4C26-BC7A-F4CB28F334D4,{},2018-10-11 09:18:43,4160,0.00,2018-04-18 15:53:28.405781,f,0,,,f,200.125.245.45,EC,,
af8e2f41-556b-4805-9ed6-c8ecf13ae597,APA91bEX1mcb7KBYMVXmDoT6KzNw7vIKndrxUAm0DXK95Y5WZGx0iHS8P9yV-u10tlTUbVNTvH4eJglc7fwSxRZglazIPO51wbcvGY5ehJ1Rubaq6T5zIFPbVjqt96xYdUtNfkXmfZjD,115,es,-18000,402,8.0.0,1,SM-G570M,b4ade569-eb45-4d3f-9088-020086caaa49,{},2018-11-17 23:55:42,40820,0.00,2018-03-02 13:21:03.043022,f,0,,,f,181.65.75.99,PE,,
b81dd3de-d5bf-45d7-9868-f7832d15ae02,APA91bH5EgeXdltxndhxkPKmPP7Ma5b2Nxsk7Uqw2eq9iI7YZNgHqVLs0k8ES7Ch3kC94q1AkpD_KkJKQTNxk10MGRzyhhLOe2EdHQADVL9Aj1dhLDxF5FS41XzwvBrF7V4bByZYscRV,8,es,-18000,520,8.0.0,1,MHA-L09,24bac097-713d-4ebc-9fba-f796905284a2,{},2018-08-07 14:51:36,263,0.00,2018-03-03 16:27:09.841114,f,0,,,f,132.251.2.237,PE,,
be5f7485-23c7-40a1-a2e7-e2b45dc5dfeb,APA91bF0jgZ1nNxXawKwdpx7gPGxpQ4I2bLUA3yYBEmsEPuLhWt1Q3DFYQmlGX6qqgk-rmwMLmKYr0-MJ8b-0Mt8hgAXZtey7mOIzlBoNqg72Tl6DFEvSKnUrIkoW5huIwq4-jJJ7PVD,211,es,-18000,520,5.1.1,1,D2303,b36e85fe-d57f-4202-9e62-a4a2bf717ecd,{},2018-07-31 11:06:14.626319,17387,0.00,2018-04-18 20:38:05.101917,t,0,,,f,2800:370:c3:3460:bdbe:ae5d:b2f3:8df7,EC,,
bba4411c-c984-4a2a-ae75-cf5845eac255,,107,es,-18000,519,4.4.2,1,GT-I9192,177b8bd0-8044-4cc0-a767-cc0702a31f33,{},2018-06-12 03:45:02.216934,184606,0.00,2018-02-25 21:39:27.633953,t,0,,,f,200.7.247.15,EC,,
bf1660fc-d343-47ba-86f3-7f8818622877,cd9e59e474aba39d01cb8191adc159326dd6d0aa391f904c767562f2beb6e925,15,es,-18000,0.5.20,12.0.1,0,"iPhone8,1",3233676C-5821-4D12-BC03-3FA541EA8B72,{},2018-11-12 00:18:02,549,0.00,2018-06-20 03:13:48.203737,f,0,,,f,190.12.20.6,EC,,
bc2204e4-7087-424b-bcfe-4a838749a528,0384cdf33ae2a89e618ee2559415776129260d6c21551db8e920870db56b2143,158,es,-18000,0.5.20,12.1,0,"iPhone10,5",87C3498E-9609-4C14-8A1A-C606C392F967,{},2018-11-17 00:10:25,17003,0.00,2018-05-07 21:14:22.715229,t,0,,,f,161.132.113.218,PE,,
